ID::ID!!I;ImageSceneContainerName::Image Scene Container Name ;ImageSceneColumn::Image Scene Column Index!!I;ImageSceneRow::Image Scene Row Index!!I;ImageStageXPosition::Image Stage Position X Image Center!!R;ImageStageYPosition::Image Stage Position Y Image Center!!R;Area::Area!!R;ImageIndexTime::Image Index Time!!I
;;;;"µm";"µm";"µm²";
2;"";0;0;0;0;7758,96;1
2;"";0;0;0;0;7573,6;2
2;"";0;0;0;0;7360,08;3
2;"";0;0;0;0;7194,68;4
2;"";0;0;0;0;10,88;5
3;"";0;0;0;0;6864,52;5
2;"";0;0;0;0;6605,72;6
2;"";0;0;0;0;5917,2;7
2;"";0;0;0;0;8,72;8
3;"";0;0;0;0;5515,04;8
2;"";0;0;0;0;9,72;9
3;"";0;0;0;0;5182,96;9
2;"";0;0;0;0;19,6;10
3;"";0;0;0;0;4824,52;10
2;"";0;0;0;0;18,72;11
3;"";0;0;0;0;11,32;11
4;"";0;0;0;0;4610;11
2;"";0;0;0;0;8,12;12
3;"";0;0;0;0;8,68;12
4;"";0;0;0;0;9,68;12
5;"";0;0;0;0;11,24;12
6;"";0;0;0;0;4350,88;12
2;"";0;0;0;0;9,6;13
3;"";0;0;0;0;19,76;13
4;"";0;0;0;0;3981,16;13
2;"";0;0;0;0;19,88;14
3;"";0;0;0;0;32,12;14
4;"";0;0;0;0;10,88;14
5;"";0;0;0;0;29,6;14
6;"";0;0;0;0;9,8;14
7;"";0;0;0;0;9,64;14
8;"";0;0;0;0;3747;14
2;"";0;0;0;0;34,76;15
3;"";0;0;0;0;17,56;15
4;"";0;0;0;0;21,52;15
5;"";0;0;0;0;9;15
6;"";0;0;0;0;9,96;15
7;"";0;0;0;0;3588,92;15
2;"";0;0;0;0;16,88;16
3;"";0;0;0;0;19,08;16
4;"";0;0;0;0;3295,96;16
2;"";0;0;0;0;14,92;17
3;"";0;0;0;0;23,48;17
4;"";0;0;0;0;47,52;17
5;"";0;0;0;0;10,12;17
6;"";0;0;0;0;10,32;17
7;"";0;0;0;0;3163,68;17
2;"";0;0;0;0;10,08;18
3;"";0;0;0;0;29,04;18
4;"";0;0;0;0;8,2;18
5;"";0;0;0;0;24,6;18
6;"";0;0;0;0;2929,04;18
2;"";0;0;0;0;9,24;19
3;"";0;0;0;0;43,32;19
4;"";0;0;0;0;21,28;19
5;"";0;0;0;0;33,24;19
6;"";0;0;0;0;23,52;19
7;"";0;0;0;0;2776,92;19
2;"";0;0;0;0;8,52;20
3;"";0;0;0;0;12,56;20
4;"";0;0;0;0;37,04;20
5;"";0;0;0;0;16,08;20
6;"";0;0;0;0;2514,2;20
7;"";0;0;0;0;32,32;20
2;"";0;0;0;0;20,2;21
3;"";0;0;0;0;30,76;21
4;"";0;0;0;0;9,12;21
5;"";0;0;0;0;29,76;21
6;"";0;0;0;0;17,4;21
7;"";0;0;0;0;8,12;21
8;"";0;0;0;0;16,2;21
9;"";0;0;0;0;2251,36;21
10;"";0;0;0;0;13,64;21
2;"";0;0;0;0;34,2;22
3;"";0;0;0;0;15,6;22
4;"";0;0;0;0;12,6;22
5;"";0;0;0;0;25,92;22
6;"";0;0;0;0;15,56;22
7;"";0;0;0;0;23;22
8;"";0;0;0;0;9,64;22
9;"";0;0;0;0;14,76;22
10;"";0;0;0;0;2048,92;22
11;"";0;0;0;0;12,4;22
2;"";0;0;0;0;19,68;23
3;"";0;0;0;0;10,84;23
4;"";0;0;0;0;24,84;23
5;"";0;0;0;0;12,28;23
6;"";0;0;0;0;49,72;23
7;"";0;0;0;0;21,6;23
8;"";0;0;0;0;14,28;23
9;"";0;0;0;0;11,28;23
10;"";0;0;0;0;8,16;23
11;"";0;0;0;0;1854,8;23
12;"";0;0;0;0;16;23
2;"";0;0;0;0;9,52;24
3;"";0;0;0;0;11,48;24
4;"";0;0;0;0;13,56;24
5;"";0;0;0;0;19,56;24
6;"";0;0;0;0;35,32;24
7;"";0;0;0;0;9,72;24
8;"";0;0;0;0;13,16;24
9;"";0;0;0;0;29,84;24
10;"";0;0;0;0;11,4;24
11;"";0;0;0;0;8,84;24
12;"";0;0;0;0;26,4;24
13;"";0;0;0;0;1634,92;24
2;"";0;0;0;0;88,2;25
3;"";0;0;0;0;8,32;25
4;"";0;0;0;0;191,52;25
5;"";0;0;0;0;8,8;25
6;"";0;0;0;0;9,84;25
7;"";0;0;0;0;12,32;25
8;"";0;0;0;0;21,8;25
9;"";0;0;0;0;33,72;25
10;"";0;0;0;0;14,96;25
11;"";0;0;0;0;21,2;25
12;"";0;0;0;0;1021,48;25
13;"";0;0;0;0;17,12;25
