Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,0,0,0,0,-38156.8,4171.2,3763.3,0.000
0,1,0,0,0,-37206.4,4408.8,3764.9,1.184
0,2,0,0,0,-37523.2,4408.8,3764.5,1.194
0,3,0,0,0,-37840.0,4408.8,3764.0,1.204
0,4,0,0,0,-38156.8,4408.8,3763.5,1.214
0,5,0,0,0,-38473.6,4408.8,3763.2,1.224
0,6,0,0,0,-39107.2,4646.4,3762.3,3.901
0,7,0,0,0,-38790.4,4646.4,3762.8,3.911
0,8,0,0,0,-38473.6,4646.4,3763.3,3.921
0,9,0,0,0,-38156.8,4646.4,3763.8,3.931
0,10,0,0,0,-37840.0,4646.4,3764.2,3.942
0,11,0,0,0,-37523.2,4646.4,3764.7,3.952
0,12,0,0,0,-37206.4,4646.4,3765.1,3.962
0,13,0,0,0,-36889.6,4646.4,3765.6,3.972
0,14,0,0,0,-36572.8,4646.4,3766.0,3.982
0,15,0,0,0,-36256.0,4646.4,3766.5,3.992
0,16,0,0,0,-35939.2,4646.4,3766.9,4.002
0,17,0,0,0,-34355.2,4646.4,3767.3,4.012
0,18,0,0,0,-34038.4,4646.4,3767.7,4.022
0,19,0,0,0,-33721.6,4646.4,3768.1,4.032
0,20,0,0,0,-33404.8,4646.4,3768.5,4.042
0,21,0,0,0,-33088.0,4646.4,3768.9,4.052
0,22,0,0,0,-31820.8,4884.0,3772.0,8.073
0,23,0,0,0,-32137.6,4884.0,3771.7,8.083
0,24,0,0,0,-32454.4,4884.0,3771.3,8.093
0,25,0,0,0,-32771.2,4884.0,3771.0,8.103
0,26,0,0,0,-33088.0,4884.0,3770.6,8.113
0,27,0,0,0,-33404.8,4884.0,3770.2,8.123
0,28,0,0,0,-33721.6,4884.0,3769.9,8.133
0,29,0,0,0,-34038.4,4884.0,3769.5,8.143
0,30,0,0,0,-34355.2,4884.0,3769.1,8.153
0,31,0,0,0,-34672.0,4884.0,3768.7,8.163
0,32,0,0,0,-34988.8,4884.0,3768.3,8.173
0,33,0,0,0,-35305.6,4884.0,3767.9,8.183
0,34,0,0,0,-35622.4,4884.0,3767.5,8.193
0,35,0,0,0,-35939.2,4884.0,3767.1,8.203
0,36,0,0,0,-36256.0,4884.0,3766.7,8.213
0,37,0,0,0,-36572.8,4884.0,3766.3,8.223
0,38,0,0,0,-36889.6,4884.0,3765.8,8.233
0,39,0,0,0,-37206.4,4884.0,3765.4,8.243
0,40,0,0,0,-37523.2,4884.0,3764.9,8.253
0,41,0,0,0,-37840.0,4884.0,3764.5,8.263
0,42,0,0,0,-38156.8,4884.0,3764.0,8.273
0,43,0,0,0,-38473.6,4884.0,3763.5,8.283
0,44,0,0,0,-38790.4,4884.0,3763.1,8.293
0,45,0,0,0,-39107.2,4884.0,3762.6,8.303
