Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,0,0,0,0,4261.3,8361.4,683.0,0.000
0,0,0,0,1,4261.3,8361.4,683.0,0.350
1,0,0,0,0,13293.7,8372.4,683.9,2.376
1,0,0,0,1,13293.7,8372.4,683.9,2.724
2,0,0,0,0,22326.1,8383.5,679.1,4.746
2,0,0,0,1,22326.1,8383.5,679.1,5.094
3,0,0,0,0,31358.4,8394.5,673.6,7.132
3,0,0,0,1,31358.4,8394.5,673.6,7.482
4,0,0,0,0,40390.8,8405.5,673.6,8.882
4,0,0,0,1,40390.8,8405.5,673.6,9.227
5,0,0,0,0,49423.2,8416.6,671.2,10.776
5,0,0,0,1,49423.2,8416.6,671.2,11.118
6,0,0,0,0,58455.5,8427.6,661.2,12.998
6,0,0,0,1,58455.5,8427.6,661.2,13.353
7,0,0,0,0,67487.9,8438.7,647.1,15.358
7,0,0,0,1,67487.9,8438.7,647.1,15.708
8,0,0,0,0,76520.3,8449.7,636.0,17.470
8,0,0,0,1,76520.3,8449.7,636.0,17.814
9,0,0,0,0,85552.6,8460.7,624.4,20.157
9,0,0,0,1,85552.6,8460.7,624.4,20.501
10,0,0,0,0,94585.0,8471.8,599.9,22.808
10,0,0,0,1,94585.0,8471.8,599.9,23.157
11,0,0,0,0,103617.4,8482.8,579.4,25.201
11,0,0,0,1,103617.4,8482.8,579.4,25.547
12,0,0,0,0,103606.4,17493.9,610.7,27.444
12,0,0,0,1,103606.4,17493.9,610.7,27.789
13,0,0,0,0,94574.0,17482.9,631.8,29.507
13,0,0,0,1,94574.0,17482.9,631.8,29.855
14,0,0,0,0,85541.6,17471.9,654.1,32.177
14,0,0,0,1,85541.6,17471.9,654.1,32.523
15,0,0,0,0,76509.3,17460.8,668.4,34.803
15,0,0,0,1,76509.3,17460.8,668.4,35.147
16,0,0,0,0,67476.9,17449.8,680.2,36.886
16,0,0,0,1,67476.9,17449.8,680.2,37.233
17,0,0,0,0,58444.5,17438.7,692.7,39.524
17,0,0,0,1,58444.5,17438.7,692.7,39.873
18,0,0,0,0,49412.1,17427.7,701.0,41.895
18,0,0,0,1,49412.1,17427.7,701.0,42.240
19,0,0,0,0,40379.8,17416.7,705.7,44.244
19,0,0,0,1,40379.8,17416.7,705.7,44.589
20,0,0,0,0,31347.4,17405.6,706.2,46.349
20,0,0,0,1,31347.4,17405.6,706.2,46.698
21,0,0,0,0,22315.0,17394.6,702.4,48.704
21,0,0,0,1,22315.0,17394.6,702.4,49.079
22,0,0,0,0,13282.7,17383.6,705.7,51.390
22,0,0,0,1,13282.7,17383.6,705.7,51.737
23,0,0,0,0,4250.3,17372.5,704.3,53.972
23,0,0,0,1,4250.3,17372.5,704.3,54.321
24,0,0,0,0,4239.3,26383.7,719.6,55.935
24,0,0,0,1,4239.3,26383.7,719.6,56.315
25,0,0,0,0,13271.6,26394.7,727.1,58.373
25,0,0,0,1,13271.6,26394.7,727.1,58.717
26,0,0,0,0,22304.0,26405.7,728.2,60.731
26,0,0,0,1,22304.0,26405.7,728.2,61.075
27,0,0,0,0,31336.4,26416.8,726.1,63.112
27,0,0,0,1,31336.4,26416.8,726.1,63.460
28,0,0,0,0,40368.8,26427.8,723.2,65.201
28,0,0,0,1,40368.8,26427.8,723.2,65.550
29,0,0,0,0,49401.1,26438.8,720.4,67.595
29,0,0,0,1,49401.1,26438.8,720.4,67.944
30,0,0,0,0,58433.5,26449.9,715.2,69.956
30,0,0,0,1,58433.5,26449.9,715.2,70.300
31,0,0,0,0,67465.9,26460.9,705.1,73.353
31,0,0,0,1,67465.9,26460.9,705.1,73.701
32,0,0,0,0,76498.3,26471.9,691.4,75.759
32,0,0,0,1,76498.3,26471.9,691.4,76.107
33,0,0,0,0,85530.6,26483.0,676.8,78.152
33,0,0,0,1,85530.6,26483.0,676.8,78.497
34,0,0,0,0,94563.0,26494.0,659.0,80.533
34,0,0,0,1,94563.0,26494.0,659.0,80.881
35,0,0,0,0,103595.4,26505.1,635.2,83.217
35,0,0,0,1,103595.4,26505.1,635.2,83.560
36,0,0,0,0,103584.4,35516.2,651.0,85.200
36,0,0,0,1,103584.4,35516.2,651.0,85.545
37,0,0,0,0,94552.0,35505.1,675.4,87.847
37,0,0,0,1,94552.0,35505.1,675.4,88.194
38,0,0,0,0,85519.6,35494.1,693.1,90.492
38,0,0,0,1,85519.6,35494.1,693.1,90.835
39,0,0,0,0,76487.3,35483.1,707.8,93.151
39,0,0,0,1,76487.3,35483.1,707.8,93.505
40,0,0,0,0,67454.9,35472.0,720.3,95.768
40,0,0,0,1,67454.9,35472.0,720.3,96.112
41,0,0,0,0,58422.5,35461.0,731.3,98.400
41,0,0,0,1,58422.5,35461.0,731.3,98.747
42,0,0,0,0,49390.1,35450.0,735.2,100.762
42,0,0,0,1,49390.1,35450.0,735.2,101.111
43,0,0,0,0,40357.7,35438.9,732.1,103.116
43,0,0,0,1,40357.7,35438.9,732.1,103.461
44,0,0,0,0,31325.4,35427.9,738.5,105.695
44,0,0,0,1,31325.4,35427.9,738.5,106.043
45,0,0,0,0,22293.0,35416.9,740.9,108.061
45,0,0,0,1,22293.0,35416.9,740.9,108.408
46,0,0,0,0,13260.6,35405.8,737.9,110.413
46,0,0,0,1,13260.6,35405.8,737.9,110.758
47,0,0,0,0,4228.3,35394.8,729.2,112.769
47,0,0,0,1,4228.3,35394.8,729.2,113.117
48,0,0,0,0,4217.3,44405.9,733.9,114.689
48,0,0,0,1,4217.3,44405.9,733.9,115.037
49,0,0,0,0,13249.6,44417.0,742.6,117.064
49,0,0,0,1,13249.6,44417.0,742.6,117.409
50,0,0,0,0,22282.0,44428.0,745.6,119.164
50,0,0,0,1,22282.0,44428.0,745.6,119.514
51,0,0,0,0,31314.4,44439.0,747.2,121.494
51,0,0,0,1,31314.4,44439.0,747.2,121.844
52,0,0,0,0,40346.7,44450.1,744.6,123.829
52,0,0,0,1,40346.7,44450.1,744.6,124.177
53,0,0,0,0,49379.1,44461.1,742.6,125.912
53,0,0,0,1,49379.1,44461.1,742.6,126.264
54,0,0,0,0,58411.5,44472.1,736.3,128.291
54,0,0,0,1,58411.5,44472.1,736.3,128.642
55,0,0,0,0,67443.9,44483.2,726.2,130.670
55,0,0,0,1,67443.9,44483.2,726.2,131.022
56,0,0,0,0,76476.2,44494.2,716.9,134.304
56,0,0,0,1,76476.2,44494.2,716.9,134.652
57,0,0,0,0,85508.6,44505.2,701.8,136.687
57,0,0,0,1,85508.6,44505.2,701.8,137.035
58,0,0,0,0,94541.0,44516.3,684.0,139.101
58,0,0,0,1,94541.0,44516.3,684.0,139.449
59,0,0,0,0,103573.4,44527.3,660.3,141.757
59,0,0,0,1,103573.4,44527.3,660.3,142.103
60,0,0,0,0,103562.3,53538.4,663.8,143.953
60,0,0,0,1,103562.3,53538.4,663.8,144.333
61,0,0,0,0,94530.0,53527.4,687.1,146.652
61,0,0,0,1,94530.0,53527.4,687.1,147.003
62,0,0,0,0,85497.6,53516.4,703.7,149.294
62,0,0,0,1,85497.6,53516.4,703.7,149.641
63,0,0,0,0,76465.2,53505.3,716.6,151.681
63,0,0,0,1,76465.2,53505.3,716.6,152.028
64,0,0,0,0,67432.9,53494.3,726.3,154.082
64,0,0,0,1,67432.9,53494.3,726.3,154.429
65,0,0,0,0,58400.5,53483.3,733.4,156.454
65,0,0,0,1,58400.5,53483.3,733.4,156.801
66,0,0,0,0,49368.1,53472.2,739.7,158.805
66,0,0,0,1,49368.1,53472.2,739.7,159.152
67,0,0,0,0,40335.7,53461.2,744.7,161.188
67,0,0,0,1,40335.7,53461.2,744.7,161.550
68,0,0,0,0,31303.4,53450.2,747.1,163.293
68,0,0,0,1,31303.4,53450.2,747.1,163.656
69,0,0,0,0,22271.0,53439.1,745.2,165.685
69,0,0,0,1,22271.0,53439.1,745.2,166.030
70,0,0,0,0,13238.6,53428.1,743.1,167.764
70,0,0,0,1,13238.6,53428.1,743.1,168.110
71,0,0,0,0,4206.2,53417.1,737.0,170.132
71,0,0,0,1,4206.2,53417.1,737.0,170.477
72,0,0,0,0,4195.2,62428.2,738.9,172.057
72,0,0,0,1,4195.2,62428.2,738.9,172.401
73,0,0,0,0,13227.6,62439.2,741.6,174.406
73,0,0,0,1,13227.6,62439.2,741.6,174.750
74,0,0,0,0,22260.0,62450.3,742.5,176.735
74,0,0,0,1,22260.0,62450.3,742.5,177.091
75,0,0,0,0,31292.4,62461.3,742.9,178.819
75,0,0,0,1,31292.4,62461.3,742.9,179.171
76,0,0,0,0,40324.7,62472.3,739.1,181.312
76,0,0,0,1,40324.7,62472.3,739.1,181.661
77,0,0,0,0,49357.1,62483.4,732.8,183.727
77,0,0,0,1,49357.1,62483.4,732.8,184.076
78,0,0,0,0,58389.5,62494.4,726.6,186.098
78,0,0,0,1,58389.5,62494.4,726.6,186.447
79,0,0,0,0,67421.8,62505.4,720.3,188.441
79,0,0,0,1,67421.8,62505.4,720.3,188.788
80,0,0,0,0,76454.2,62516.5,709.2,190.781
80,0,0,0,1,76454.2,62516.5,709.2,191.131
81,0,0,0,0,85486.6,62527.5,697.5,193.162
81,0,0,0,1,85486.6,62527.5,697.5,193.517
82,0,0,0,0,94519.0,62538.5,683.6,195.563
82,0,0,0,1,94519.0,62538.5,683.6,195.940
83,0,0,0,0,103551.3,62549.6,661.4,198.011
83,0,0,0,1,103551.3,62549.6,661.4,198.362
